REAL	1	2	3	4	5	6	7	8	9	10	11	12
201701	201704	201704	201604	201703	201703	201703	201702	201702	201702	201701	201701	201701
201702	201701	201704	201604	201704	201703	201703	201703	201702	201702	201702	201701	201701
201703	201701	201801	201604	201704	201704	201703	201703	201703	201702	201702	201702	201701
201704	201801	201801	201701	201704	201704	201704	201703	201703	201703	201702	201702	201702
201705	201802	201801	201701	201801	201704	201704	201704	201703	201703	201703	201702	201702
201706	201802	201802	201701	201801	201801	201704	201704	201704	201703	201703	201703	201702
201707	201802	201802	201702	201801	201801	201801	201704	201704	201704	201703	201703	201703
201708	201803	201802	201702	201802	201801	201801	201801	201704	201704	201704	201703	201703
201709	201803	201803	201702	201802	201802	201801	201801	201801	201704	201704	201704	201703
201710	201803	201803	201703	201802	201802	201802	201801	201801	201801	201704	201704	201704
201711	201804	201803	201703	201803	201802	201802	201802	201801	201801	201801	201704	201704
201712	201804	201804	201703	201803	201803	201802	201802	201802	201801	201801	201801	201704
